name,mainInfo,rightAscension,declination,distance,visualBrightness,apparentDimension,link
 Messier 76 ,Planetary Nebula M76 (NGC 650/651),01 : 42.4 (h:m),+51 : 34 (deg:m),2.5 (kly),10.1 (mag) ,2.7x1.8 (arc min),http://www.messier.seds.org/m/m076.html
 Messier 77 ,Spiral Galaxy  M77 (NGC 1068),02 : 42.7 (h:m),-00 : 01 (deg:m),60000 (kly),8.9 (mag) ,7x6 (arc min),http://www.messier.seds.org/m/m077.html
 Messier 78 ,Starforming Nebula M78 (NGC 2068),05 : 46.7 (h:m),+00 : 03 (deg:m),1.35 (kly),8.3 (mag) ,8x6 (arc min),http://www.messier.seds.org/m/m078.html
 Messier 79 ,Globular Cluster M79 (NGC 1904),05 : 24.2 (h:m),-24 : 31 (deg:m),42.1 (kly),7.7 (mag) ,9.6 (arc min),http://www.messier.seds.org/m/m079.html
 Messier 80 ,Globular Cluster  M80 (NGC 6093),16 : 17.0 (h:m),-22 : 59 (deg:m),32.6 (kly),7.3 (mag) ,10.0 (arc min),http://www.messier.seds.org/m/m080.html
 Messier 81 ,Spiral Galaxy  M81 (NGC 3031),09 : 55.6 (h:m),+69 : 04 (deg:m),12000 (kly),6.9 (mag) ,21x10 (arc min),http://www.messier.seds.org/m/m081.html
 Messier 82 ,Irregular Galaxy  M82 (NGC 3034),09 : 55.8 (h:m),+69 : 41 (deg:m),12000 (kly),8.4 (mag) ,9x4 (arc min),http://www.messier.seds.org/m/m082.html
 Messier 83 ,Spiral Galaxy  M83 (NGC 5236),13 : 37.0 (h:m),-29 : 52 (deg:m),15000 (kly),7.6 (mag) ,11x10 (arc min),http://www.messier.seds.org/m/m083.html
 Messier 84 ,Lenticular (S0) Galaxy  M84 (NGC 4374),12 : 25.1 (h:m),+12 : 53 (deg:m),60000 (kly),9.1 (mag) ,5.0 (arc min),http://www.messier.seds.org/m/m084.html
 Messier 85 ,Lenticular (S0) Galaxy  M85 (NGC 4382),12 : 25.4 (h:m),+18 : 11 (deg:m),60000 (kly),9.1 (mag) ,7.1x5.2 (arc min),http://www.messier.seds.org/m/m085.html
 Messier 86 ,Lenticular (S0) Galaxy  M86 (NGC 4406),12 : 26.2 (h:m),+12 : 57 (deg:m),60000 (kly),8.9 (mag) ,7.5x5.5 (arc min),http://www.messier.seds.org/m/m086.html
 Messier 87 ,Elliptical Galaxy  M87 (NGC 4486),12 : 30.8 (h:m),+12 : 24 (deg:m),60000 (kly),8.6 (mag) ,7.0 (arc min),http://www.messier.seds.org/m/m087.html
 Messier 88 ,Spiral Galaxy  M88 (NGC 4501),12 : 32.0 (h:m),+14 : 25 (deg:m),60000 (kly),9.6 (mag) ,7x4 (arc min),http://www.messier.seds.org/m/m088.html
 Messier 89 ,Elliptical Galaxy  M89 (NGC 4552),12 : 35.7 (h:m),+12 : 33 (deg:m),60000 (kly),9.8 (mag) ,4.0 (arc min),http://www.messier.seds.org/m/m089.html
 Messier 90 ,Spiral Galaxy  M90 (NGC 4569),12 : 36.8 (h:m),+13 : 10 (deg:m),60000 (kly),9.5 (mag) ,9.5x4.5 (arc min),http://www.messier.seds.org/m/m090.html
 Messier 91 ,Spiral Galaxy  M91 (NGC 4548),12 : 35.4 (h:m),+14 : 30 (deg:m),60000 (kly),10.2 (mag) ,5.4x4.4 (arc min),http://www.messier.seds.org/m/m091.html
 Messier 92 ,Globular Cluster  M92 (NGC 6341),17 : 17.1 (h:m),+43 : 08 (deg:m),26.7 (kly),6.4 (mag) ,14.0 (arc min),http://www.messier.seds.org/m/m092.html
 Messier 93 ,Open Cluster  M93 (NGC 2447),07 : 44.6 (h:m),-23 : 52 (deg:m),3.6 (kly),6.0 (mag) ,22.0 (arc min),http://www.messier.seds.org/m/m093.html
 Messier 94 ,Spiral Galaxy  M94 (NGC 4736),12 : 50.9 (h:m),+41 : 07 (deg:m),14500 (kly),8.2 (mag) ,7x3 (arc min),http://www.messier.seds.org/m/m094.html
 Messier 95 ,Spiral Galaxy  M95 (NGC 3351),10 : 44.0 (h:m),+11 : 42 (deg:m),38000 (kly),9.7 (mag) ,4.4x3.3 (arc min),http://www.messier.seds.org/m/m095.html
 Messier 96 ,Spiral Galaxy  M96 (NGC 3368),10 : 46.8 (h:m),+11 : 49 (deg:m),38000 (kly),9.2 (mag) ,6x4 (arc min),http://www.messier.seds.org/m/m096.html
 Messier 97 ,Planetary Nebula  M97 (NGC 3587),11 : 14.8 (h:m),+55 : 01 (deg:m),2.6 (kly),9.9 (mag) ,3.4x3.3 (arc min),http://www.messier.seds.org/m/m097.html
 Messier 98 ,Spiral Galaxy  M98 (NGC 4192),12 : 13.8 (h:m),+14 : 54 (deg:m),60000 (kly),10.1 (mag) ,9.5x3.2 (arc min),http://www.messier.seds.org/m/m098.html
 Messier 99 ,Spiral Galaxy  M99 (NGC 4254),12 : 18.8 (h:m),+14 : 25 (deg:m),60000 (kly),9.9 (mag) ,5.4x4.8 (arc min),http://www.messier.seds.org/m/m099.html
 Messier 100 ,Spiral Galaxy  M100 (NGC 4321),12 : 22.9 (h:m),+15 : 49 (deg:m),60000 (kly),9.3 (mag) ,7x6 (arc min),http://www.messier.seds.org/m/m100.html
